date,ship,cruise_line,arrival,departure,time_in_port,terminal,call_type,notes,tour_time
2027-01-03,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-01-04,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-01-05,MSC Magnifica & MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-01-10,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-01-11,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-01-12,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-01-17,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-01-18,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-01-24,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-01-25,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-01-31,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-02-01,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-02-07,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-02-08,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-02-09,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-02-14,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-02-15,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-02-16,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-02-21,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-02-22,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-02-23,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-02-28,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-03-01,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-03-02,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-03-07,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-03-08,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-03-09,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-03-14,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-03-15,MSC Euribia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,10:00
2027-03-16,MSC Sinfonia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
2027-03-21,MSC World Asia,MSC Cruises,,,,,,Tour-operating schedule entry — ship arrival/departure not verified in this dataset.,09:30
