date,ship,cruiseLine,arrival,departure,passengers,notes
2026-04-08,MSC Splendida,MSC Cruises,07:00,18:00,,
2026-04-15,Costa Smeralda,Costa Cruises,08:00,17:00,,
2026-05-06,Celebrity Apex,Celebrity Cruises,07:30,18:30,,
2026-05-20,Norwegian Epic,Norwegian Cruise Line,08:00,17:00,,
2026-06-03,Royal Caribbean Odyssey,Royal Caribbean,07:00,19:00,,
2026-06-17,MSC Seaview,MSC Cruises,08:00,18:00,,
2026-07-01,Celebrity Edge,Celebrity Cruises,07:30,17:30,,
2026-07-15,Costa Diadema,Costa Cruises,08:00,18:00,,
2026-08-05,Viking Venus,Viking Ocean,08:00,17:00,,
2026-08-19,MSC Grandiosa,MSC Cruises,07:00,18:00,,
2026-09-02,Norwegian Dawn,Norwegian Cruise Line,08:00,17:00,,
2026-09-16,Celebrity Constellation,Celebrity Cruises,07:30,18:00,,
2026-10-07,Costa Fortuna,Costa Cruises,08:00,17:00,,
